Company Names,Page Link Abbr
Reliance Industries,reliance-industries-ltd
TCS,tata-consultancy-services-ltd
HDFC Bank,hdfc-bank-ltd
ICICI Bank,icici-bank-ltd
Infosys,infosys-ltd
Bharti Airtel,bharti-airtel-ltd
LIC,life-insurance-corporation-of-india
SBI,state-bank-of-india
Hindustan Unilever,hindustan-unilever-ltd
ITC,itc-ltd
L&T,larsen-toubro-ltd
Bajaj Finance,bajaj-finance-ltd
HCL Technologies,hcl-technologies-ltd
Kotak Mahindra Bank,kotak-mahindra-bank-ltd
Axis Bank,axis-bank-ltd
Avenue Supermarts,avenue-supermarts-ltd
Coal India,coal-india-ltd
Power Grid Corp,power-grid-corporation-of-india-ltd
IRFC,indian-railway-finance-corporation-ltd
Bajaj Auto,bajaj-auto-ltd
Mahindra & Mahindra,mahindra-mahindra-ltd
HAL,hindustan-aeronautics-ltd
JSW Steel,jsw-steel-ltd
Adani Power,adani-power-ltd
IOCL,indian-oil-corporation-ltd
DLF,dlf-ltd
Tata Steel,tata-steel-ltd
Varun Beverages,varun-beverages-ltd
LTIMindtree,larsen-toubro-infotech-ltd
JIO Financial Serv.,jio-financial-services-ltd
Siemens,siemens-ltd
Grasim Industries,grasim-industries-ltd
Bharat Electronics,bharat-electronics-ltd
Power Finance Corp,power-finance-corporation-ltd
SBI Life Insurance,sbi-life-insurance-company-ltd
Hindustan Zinc,hindustan-zinc-ltd
Pidilite Industries,pidilite-industries-ltd
IndusInd Bank,indusind-bank-ltd
HAL,hindustan-aeronautics-ltd
Tech Mahindra,tech-mahindra-ltd
Hindalco,hindalco-industries-ltd
HDFC Life Insurance,hdfc-standard-life-insurance-co-ltd
Britannia Industries,britannia-industries-ltd
RECL,rec-ltd
Zomato,zomato-ltd
Adani Energy Solut.,adani-transmission-ltd
Godrej Consumer,godrej-consumer-products-ltd
Bank of Baroda,bank-of-baroda
PNB,punjab-national-bank
Trent,trent-ltd
Tata Power,tata-power-company-ltd
Ambuja Cements,ambuja-cements-ltd
Cipla,cipla-ltd
Interglobe Aviation,interglobe-aviation-ltd
Adani Total Gas,adani-gas-ltd
GAIL (India),gail-india-ltd
Tata Consumer,tata-global-beverages-ltd
Varun Beverages,varun-beverages-ltd
Cholamandalam Invest,cholamandalam-investment-finance-company-ltd
Union Bank of India,union-bank-of-india
Divi's Labs,divis-laboratories-ltd
BPCL,bharat-petroleum-corporation-ltd
Macrotech Devs,lodha-developers-ltd
Shree Cement,shree-cement-ltd
ABB India,abb-india-ltd
TVS Motor Company,tvs-motor-company-ltd
Eicher Motors,eicher-motors-ltd
Vedanta,vedanta-ltd
Dr Reddy's Labs,dr-reddys-laboratories-ltd
Dabur India,dabur-india-ltd
IDBI Bank,idbi-bank-ltd
Bajaj Holdings,bajaj-holdings-investment-ltd
Hero MotoCorp,hero-motocorp-ltd
Indian Overseas Bank,indian-overseas-bank
Apollo Hospitals,apollo-hospitals-enterprise-ltd
Canara Bank,canara-bank
Torrent Pharma,torrent-pharmaceuticals-ltd
Mankind Pharma,mankind-pharma-ltd
Havells India,havells-india-ltd
Shriram Finance,shriram-transport-finance-company-ltd
United Spirits,united-spirits-ltd
Vodafone Idea,vodafone-idea-ltd
Samvardhana Motherson,motherson-sumi-systems-ltd
JSW Energy,jsw-energy-ltd
Tube Investments,tube-investments-of-india-ltd
IRCTC,indian-railway-catering-tourism-corpn-ltd
BHEL,bharat-heavy-electricals-ltd
ICICI Prudential,icici-prudential-life-insurance-company-ltd
Zydus,cadila-healthcare-ltd
HDFC Asset Mgmt Co,hdfc-asset-management-company-ltd
Jindal Steel & Power,jindal-steel-power-ltd
SBI Cards,sbi-cards-payment-services-ltd
NHPC,nhpc-ltd
Max Healthcare,max-healthcare-institute-ltd
Yes Bank,yes-bank-ltd
CG Power & Inds,cg-power-industrial-solutions-ltd
SRF,srf-ltd
Berger Paints,berger-paints-india-ltd
ICICI Lombard,icici-lombard-general-insurance-co-ltd
Marico,marico-ltd
Colgate-Palmolive,colgatepalmolive-india-ltd
Indian Hotels Co,the-indian-hotels-company-ltd
Info Edge (India),info-edge-india-ltd
Bosch,bosch-ltd
Aurobindo Pharma,aurobindo-pharma-ltd
Polycab India,polycab-india-ltd
Godrej Properties,godrej-properties-ltd
Persistent Systems,persistent-systems-ltd
Lupin,lupin-ltd
Rail Vikas Nigam,rail-vikas-nigam-ltd
Indian Bank,indian-bank
General Insurance,general-insurance-corporation-of-india-ltd
NMDC,nmdc-ltd
HPCL,hindustan-petroleum-corporation-ltd
Bank of India,bank-of-india
Alkem Laboratories,alkem-laboratories-ltd
Suzlon Energy,suzlon-energy-ltd
Indus Towers,bharti-infratel-ltd
Solar Industries,solar-industries-india-ltd
Bharat Forge,bharat-forge-ltd
OFSS,oracle-financial-services-software-ltd
Patanjali Foods,ruchi-soya-industries-ltd
L&T Tech Services,lt-technology-services-ltd
Cummins India,cummins-india-ltd
IDFC First Bank,idfc-bank-ltd
MindTree,mindtree-ltd
Muthoot Finance,muthoot-finance-ltd
Abbott India,abbott-india-ltd
P&G,procter-gamble-hygiene-health-care-ltd
Prestige Estates,prestige-estate-projects-ltd
